,level,power,date
0,20,69.5,2023-05-16
1,28,358.1,2023-05-16
2,29,374.1,2023-05-16
3,27,311.4,2023-05-16
4,28,338.2,2023-05-16
5,26,303.3,2023-05-16
6,27,348.6,2023-05-16
7,23,209.5,2023-05-16
8,25,321.9,2023-05-16
9,24,249.3,2023-05-16
10,29,432.9,2023-05-16
11,28,340.4,2023-05-16
12,27,340.3,2023-05-16
13,25,239.0,2023-05-16
14,26,298.4,2023-05-16
15,26,267.7,2023-05-16
16,24,226.8,2023-05-16
17,27,304.3,2023-05-16
18,27,261.3,2023-05-16
19,26,228.5,2023-05-16
20,24,275.0,2023-05-16
21,25,303.0,2023-05-16
22,26,243.1,2023-05-16
23,24,300.6,2023-05-16
24,25,271.3,2023-05-16
25,26,211.8,2023-05-16
26,25,245.4,2023-05-16
27,25,290.1,2023-05-16
28,29,326.1,2023-05-16
29,24,168.8,2023-05-16
30,22,108.5,2023-05-16
31,25,234.1,2023-05-16
32,23,114.6,2023-05-16
33,22,160.7,2023-05-16
34,25,230.4,2023-05-16
35,22,811.7,2023-05-16
36,27,264.9,2023-05-16
