,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
0,S54,十文字,11100,False,S56,猛牛団,10600
1,S57,毛利家,8900,False,S57,月花,8900
2,S57,牛宮城,13300,False,S59,関東王将,17700
3,S56,麦わらの一味,6700,True,S59,六文銭,7900
4,S59,三草二木,17700,True,S57,蝶よ華よ,12300
5,S47,朱雀,8900,True,S57,軍神,9155
6,S57,天元突破,13300,False,S52,喫茶安土,12300
7,S57,月花,8900,True,S57,毛利家,8900
8,S56,波瀾万丈,8900,True,S59,星空の輝き,8950
9,S58,ミルフィーユ,13200,False,S55,のらりくらり,15685
10,S46,真紅,6603,False,S57,薩摩隼人,7300
11,S49,飛竜蒼天,11100,True,S57,名門・小田家,10600
12,S58,桜,11000,True,S59,新生武神,10600
13,S51,風来坊,11000,False,S59,協心戮力,11400
14,S56,美人局,6700,False,S46,蒼月,5800
15,S59,関東王将,17700,True,S57,牛宮城,13300
16,S57,紫陽花,10600,True,S37,疾風迅雪,10100
17,S52,コソコソ同盟,2400,-1,S58,漢の国,5600
18,S58,天下布武,8300,True,S59,喜怒哀楽,6397
19,S59,新生武神,10600,False,S58,桜,11000
20,S44,第七師団,4500,-1,S38,すしざんまい,4400
21,S38,すしざんまい,4400,-1,S44,第七師団,4500
22,S52,麒麟乃翼,12800,False,S59,闘源郷,12300
23,S59,隣の天使様,15000,True,S55,ゴイゴイスー,12300
24,S45,信長の森,10600,True,S57,吉川家,9604
25,S57,名門・小田家,10600,False,S49,飛竜蒼天,11100
26,S59,喜怒哀楽,6397,False,S58,天下布武,8300
27,S56,猛牛団,10600,True,S54,十文字,11100
28,S41,天照,4299,-1,S55,第四勢力,3700
29,S48,鴻鵠の志,12800,True,S59,百花繚乱,11800
30,S46,パッパ,17167,True,S59,アメとムチ,12300
31,S59,エゴイスト,8483,False,S44,眠れる獅子,8766
32,S52,喫茶安土,12300,True,S57,天元突破,13300
33,S43,デンジャー団,1800,-1,S42,漢道,1400
34,S59,闘源郷,12300,True,S52,麒麟乃翼,12800
35,S37,疾風迅雪,10100,False,S57,紫陽花,10600
36,S58,漢の国,5600,-1,S52,コソコソ同盟,2400
37,S57,華麗なる一族,7900,True,S54,ペンギン村,6769
38,S46,蒼月,5800,True,S56,美人局,6700
39,S55,第四勢力,3700,-1,S41,天照,4299
40,S58,鬼,9928,True,S56,至誠通天,9667
41,S45,りばてぃ,7846,True,S10,甲賀の里,8100
42,S55,ゴイゴイスー,12300,False,S59,隣の天使様,15000
43,S10,甲賀の里,8100,False,S45,りばてぃ,7846
44,S57,蝶よ華よ,12300,False,S59,三草二木,17700
45,S59,六文銭,7900,False,S56,麦わらの一味,6700
46,S59,アメとムチ,12300,False,S46,パッパ,17167
47,S59,猛虎伏草,7900,True,S59,名湯百選,7400
48,S57,吉川家,9604,False,S45,信長の森,10600
49,S58,ラブリー帝国,9400,True,S49,鸞翔鳳集,9100
50,S59,名湯百選,7400,False,S59,猛虎伏草,7900
51,S58,きゃば城,9500,False,S58,ミルクレープ,8947
52,S56,至誠通天,9667,False,S58,鬼,9928
53,S52,パワハラ会議,7118,False,S58,竜騰虎闘,7361
54,S58,白米,11700,False,S58,天照,9500
55,S58,世界平和,9500,True,S53,ねこぐらし,9198
56,S56,パイナポー,5221,-1,S54,戦国群雄,599
57,S57,薩摩隼人,7300,True,S46,真紅,6603
58,S58,竜騰虎闘,7361,True,S52,パワハラ会議,7118
59,S52,zoo,9242,False,S59,菜の花畑,8936
60,S59,百花繚乱,11800,False,S48,鴻鵠の志,12800
61,S58,天照,9500,True,S58,白米,11700
62,S42,漢道,1400,-1,S43,デンジャー団,1800
63,S45,天神,1299,True,*,*,*
64,S44,松下村塾,2981,-1,S59,王将製造工場,4801
65,S49,鸞翔鳳集,9100,False,S58,ラブリー帝国,9400
66,S54,戦国群雄,599,-1,S56,パイナポー,5221
67,S58,どうぶつ王国,2888,-1,S47,とりあえず,1000
68,S53,最初の晩餐,2900,-1,S58,一騎当千,4882
69,S58,一騎当千,4882,-1,S53,最初の晩餐,2900
70,S55,BRバカー代,800,-1,S54,竜宮城,953
71,S37,是々非々,4900,-1,S47,気の向くまま,2882
72,S53,救命,900,-1,S44,桜姫,830
73,S59,星空の輝き,8950,False,S56,波瀾万丈,8900
74,S53,暁の姫,4959,True,S47,れいの家畜,785
75,S44,オアシス,1000,-1,S56,調査兵団,2935
76,S55,ドラえもん,865,-1,S56,踊,1000
77,S44,桜姫,830,-1,S53,救命,900
78,S59,協心戮力,11400,True,S51,風来坊,11000
79,S59,王将製造工場,4801,-1,S44,松下村塾,2981
80,S49,国士,2699,False,S43,BB,4900
81,S47,れいの家畜,785,False,S53,暁の姫,4959
82,S55,のらりくらり,15685,True,S58,ミルフィーユ,13200
83,S54,竜宮城,953,-1,S55,BRバカー代,800
84,S58,ミルクレープ,8947,True,S58,きゃば城,9500
85,S59,菜の花畑,8936,True,S52,zoo,9242
86,S53,ねこぐらし,9198,False,S58,世界平和,9500
87,S47,とりあえず,1000,-1,S58,どうぶつ王国,2888
88,S56,踊,1000,-1,S55,ドラえもん,865
89,S47,気の向くまま,2882,-1,S37,是々非々,4900
90,S54,ペンギン村,6769,False,S57,華麗なる一族,7900
91,S43,BB,4900,True,S49,国士,2699
92,S57,軍神,9155,False,S47,朱雀,8900
93,S44,眠れる獅子,8766,True,S59,エゴイスト,8483
94,S56,調査兵団,2935,-1,S44,オアシス,1000
