,level,power,date
0,22,118.9,2023-05-26
1,21,121.1,2023-05-26
2,22,126.1,2023-05-26
3,22,147.6,2023-05-26
4,21,145.0,2023-05-26
5,20,121.4,2023-05-26
6,18,84.5,2023-05-26
7,18,48.0,2023-05-26
8,17,52.5,2023-05-26
9,18,60.3,2023-05-26
10,21,118.1,2023-05-26
11,21,112.1,2023-05-26
12,20,88.6,2023-05-26
13,19,131.5,2023-05-26
14,20,86.9,2023-05-26
15,19,73.7,2023-05-26
16,20,115.6,2023-05-26
17,16,63.1,2023-05-26
18,20,113.3,2023-05-26
19,17,79.3,2023-05-26
20,22,136.7,2023-05-26
21,19,92.5,2023-05-26
22,22,121.8,2023-05-26
23,22,127.8,2023-05-26
24,21,103.4,2023-05-26
25,19,86.9,2023-05-26
26,17,62.7,2023-05-26
27,19,71.6,2023-05-26
28,24,186.1,2023-05-26
29,22,123.7,2023-05-26
30,21,119.6,2023-05-26
31,21,102.7,2023-05-26
32,19,92.0,2023-05-26
33,20,64.9,2023-05-26
34,20,116.4,2023-05-26
35,20,103.0,2023-05-26
36,19,98.1,2023-05-26
37,20,123.5,2023-05-26
38,21,108.2,2023-05-26
39,21,89.7,2023-05-26
40,20,99.0,2023-05-26
41,18,102.7,2023-05-26
42,18,77.1,2023-05-26
43,21,104.3,2023-05-26
44,21,105.7,2023-05-26
45,21,106.2,2023-05-26
46,21,98.3,2023-05-26
47,20,89.1,2023-05-26
48,20,79.3,2023-05-26
49,18,66.3,2023-05-26
50,21,107.8,2023-05-26
51,19,72.2,2023-05-26
52,11,18.4,2023-05-26
53,18,53.1,2023-05-26
54,21,102.7,2023-05-26
55,19,59.0,2023-05-26
56,23,150.1,2023-05-26
57,20,87.5,2023-05-26
58,18,51.8,2023-05-26
59,18,50.3,2023-05-26
60,18,59.5,2023-05-26
61,18,68.7,2023-05-26
62,20,81.3,2023-05-26
63,20,72.9,2023-05-26
